2002-04-05 19:55:00;7f56f6f60b8c1a21ab200e1c9819f82e0120203640abcd42c066a3901cc3326f;0964150B;CPD;50;GARFIELD RIDGE
2002-04-05 19:56:00;ab154a9985b25a5274fa13a7546381d99baca81bcbfef3b316b3fbffd569e406;0964150B;DOF;50;OHARE
2002-04-05 20:00:00;9244bbb14cba25d3d92fbeb7f7c8e574bcd121dd17f167f35e10aabe5f0595d3;0964150B;CPD;50;GARFIELD RIDGE
2002-04-05 20:00:00;1d4acef294937836c8c04fe42cd64afa61a5f0c0a94ef9e8c294ced02b5e1b5c;0964100A;CPD;100;LOOP
2002-04-05 20:05:00;8c22dbcfa91695e15ae2ec41bda52c8e5aba39d28bb09f211eac885f302f93e1;0964080B;CPD;50;LOOP
2002-04-05 20:15:00;1dec944cc4a757a81ba6c595db82f32ea8c29ceb7ff9dcc38faccd4df638cbaf;0976160A;CPD;25;NORTH CENTER
2002-04-05 20:15:00;567b79420d14f0b3ca5ffc7b23fe00b53dedefed7fb085048593560f3590abc7;0980120B;CPD;25;GARFIELD RIDGE
2002-04-05 20:15:00;3a53764973ba560eb21be34564811362de5a96be581bf70c6defc883b41a8ce8;0980120B;CPD;25;GARFIELD RIDGE
2002-04-05 20:15:00;3b4ab390f3eed20310d58abf3995e6b7a544caea5d65e5bdb2f5f4341fb83f19;0964150B;CPD;50;OHARE
2002-04-05 20:29:00;daa8d4bee83853ebe12535bbeedf3c9aeca86326bb4d847508525ca37db6bafe;0976220B;CPD;25;LOWER WEST SIDE
2001-04-04 13:41:00;e96541ae389fc1ffed575647a10f95f961d474ee3d02457b01abb435a7a62fa8;0964150B;Miscellaneous;50;OHARE
2001-04-04 13:42:00;de58b412189b799ba3306cd0cee51a7ee80bcf7933acd138d62b1057e40640cf;0964190A;DOF;30;HYDE PARK
2001-04-04 13:42:00;5fb7d844b8d68f95a66b3004e000395e0f9c84d02522bc36ce0bf022d4cb0dc5;0964190A;DOF;30;WEST TOWN
